data_field,description
X_id,0
id,0
name,0
canonicalUrl,0
shortUrl,0
timeZone,0
dateUpdateCache,0
rating,0
pricetier,0
phrases,0
tags,0
categories,0
X__v,0
photos,0
isProvider,0
verified,0
dislike,0
ok,0
createdAt,0
address,0
lat,0
lng,0
postalCode,0
cc,0
city,0
state,0
country,0
formattedAddress,0
labeledLatLngs,0
crossStreet,0
distance,0
gps_types,0
gps_coordinates,0
count,0
groups,0
phone,0
formattedPhone,0
allowMenuUrlEdit,0
isOwn,0
dateUpdateCache.1,0
