data_field,description
X_id,0
isActive,0
name,0
provider,0
isImported,0
isFood,0
note,0
thumbnail,0
category,0
price,0
description,0
X__v,0
id,0
isLunch,0
canShip,0
isNewItem,0
isSignature,0
canSearch,0
unit,0
promotionRefs,0
isDeleted,0
createdAt,0
updatedAt,0
unitRef,0
image,0
rate,0
foodItem,0
