data_field,description
X__v,0
X_id,0
avatarUrl,0
challengeCount,0
coin,0
createdAt,0
dateOfBirth,0
encryptedCoin,0
fbId,0
feedbacks,0
gender,0
isIgnorePromotion,0
language,0
lastActiveTime,0
lastActiveTimeSpbot,0
memberCardUrl,0
memberCode,0
name,0
otp,0
phoneNumber,0
referral,0
savedAddress,0
sources,0
spId,0
subscribeChallenge,0
subscribeInvitation,0
wAdvice,0
wRecommend,0
